title,description,location,features,data,price
Cheap and best,"New flat with bike parking near Metro Station  modular kitchen fans ,water and electricity meter connection near Metro  Pls contact",Om Vihar Delhi Delhi India,2 Bds - 2 Ba - 500 ft2,2020-07-12T18:53:49+0000,"₹ 22,00,000"
,,,,,
"I wanna sell my room at Virar East, priced 1700000/-","selling my 1rk room loacted at Virar East, area of 375 sqft. priced at 1700000/-.",Virar West Thane Maharashtra India,1 Bds - 1 Ba - 375 ft2,2020-07-12T18:52:34+0000,"₹ 17,00,000"
,,,,,
3 BHK @ Shilaj Circle,Aashray Atulyam in Ahmedabad West by Aashray Constructions is a residential project. The project offers Apartment with perfect combination of contemporary architecture and features to provide comfortable living. The Apartment are of the following configurations: 2BHK and 3BHK. The size of the Apartment ranges in between 61.59 Sq. mt and 76.18 Sq. mt Aashray Atulyam price ranges from 42.00 Lacs to 52.00 Lacs. Aashray Atulyam offers facilities such as Gymnasium and Lift.It also offers services like Banquet hall. It also offers Car parking.,Shilaj Ahmedabad Gujarat India,3 Bds - 3 Ba - 1550 ft2,2020-07-12T18:52:24+0000,"₹ 56,18,500"
,,,,,
Premium banglow for sale,"3-4-5 bhk Premium banglow Avaliable for sale prime and different location in indore With All modern Amenities.   Annapurna,  Rajendra nager,  Vip paraspar,  Traiser fantasy,  Traiser Town,  Awasa bijalpur,  Bangali squre,  Royal krishnaa  Vijay nager,    Imp. Attached pics imagination only original deefer.   More details Available on your call  K3 REAL ESTATE INDORE",Vip Paraspar Nagar Indore Madhya Pradesh India,4 Bds - 3 Ba - 2550 ft2,2020-07-12T18:48:36+0000,"₹ 1,25,00,000"
,,,,,
ഫ്ലാറ്റുകളും വീടുകളും സ്ഥലങ്ങളും എറണാകുളത്തു kuranjavilayil,Afgfgjlgfmj,Malippuram Town Kochi Kerala India,2 Bds - 2 Ba - 700 ft2,2020-07-12T18:48:31+0000,"₹ 20,00,000"
,,,,,
Luxury 2bhk in Prime Location with luxurious aminities at tellapur,"Luxurious Gated Community Apartment Flats. G+9 Floors, With 5 Star Club House and Amenities, Behind Wipro Limited, GOPANPALLY Hyd 8 Towers in 6.5 acres Land Possession: 3 years 2,3 BHK Flats Available  East/West Facing Available   for Details contact us",Tellapur Hyderabad Telangana India,2 Bds - 2 Ba - 1271 ft2,2020-07-08T12:02:02+0000,"₹ 51,43,590"
,,,,,
3 BHK BRAND NEW KOTHI SEMI FURNISHED (100% HOME LOAN FINANCED),"3 BHK  KOTHI SEMI FURNISHED at prime location, MODULAR KITCHEN WARDROBES SPACIOUS CAR PARKING LAWN ETC. PRICE NEGOTIABLE ONLY 37.90 LACS 100% HOME LOAN FULL FINANCED FACILITIES AVAILABLE",Garden Colony Kharar Punjab India,3 Bds - 3 Ba - 1740 ft2,2020-06-16T16:23:28+0000,"₹ 37,90,000"
,,,,,
"Full paisa vasool, %3BHK % Flat  For Sale In sector- 14 Gurugram.","Full paisa vasool, %3BHK % Flat  For Sale In sector- 14 Gurugram.",Sector 14 Gurgaon Haryana India,3 Bds - 3 Ba - 1200 ft2,2020-07-12T19:20:54+0000,"₹ 72,00,000"
,,,,,
"House for Sale at Chanthavila,Thiruananthapuram",4.5 Cents land  500 mtrs. from bypass road.  Excellent place to live. Easily accessible  to all major institutions,Chanthavila Thiruvananthapuram Kerala India,3 Bds - 3 Ba - 1500 ft2,2020-07-12T18:52:04+0000,"₹ 53,00,000"
,,,,,
"New house in Pala town. 3 bed, 3 bath, parking","New house in Pala town. 3 bedrooms. 3 bathrooms. Large living room. Two kitchens. 2000 sqft. 3 car parking. Covered terrace.  10 cents.  3 km from town center. 2 minutes to bus stop. Near IIIT Engineering College, Edanad Center.  Price negotiable",Meenachil Palai Kerala India,3 Bds - 3 Ba - 2000 ft2,2020-07-12T18:51:55+0000,"₹ 72,00,000"
,,,,,
